"","year","country","number_of_attacks","eventsLT1hr","success","suicide_attack","confirmed_fatalities","confirmed_us_fatal","nkillter","nwound","nwoundus","nwoundte","involved_property","ransom","atktrg_gov","atktrg_diplom","atktrg_relig","atktrg_air","atktrg_military","atktrg_buss","atktrg_priv","with_explosives","with_sabotage","with_firearm"
"55",1971,"Sweden",2,0,2,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"56",1971,"Switzerland",1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"57",1971,"Taiwan",1,0,1,0,25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"58",1971,"Turkey",35,3,31,0,1,0,0,0,0,0,27,4,3,9,0,0,13,4,3,27,0,1
"59",1971,"United Kingdom",81,0,75,0,110,0,3,1,0,0,23,1,1,2,0,0,48,11,9,23,0,55
"60",1971,"United States",247,0,214,0,20,15,1,55,48,0,191,0,31,11,4,1,32,90,8,144,0,24
"61",1971,"Uruguay",8,1,8,0,1,0,0,0,0,0,4,2,1,1,0,0,0,1,0,0,0,5
"62",1971,"Venezuela",4,1,4,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,0,1,0,0
"63",1971,"Yemen",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"64",1971,"Zambia",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"65",1972,"Algeria",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"66",1972,"Argentina",20,2,14,0,5,0,0,0,0,0,10,2,0,5,0,0,3,10,2,13,0,5
"67",1972,"Australia",8,0,2,0,1,1,0,0,0,0,2,0,0,6,0,0,0,1,0,8,0,0
"68",1972,"Austria",7,0,2,0,4,1,0,5,0,0,1,0,0,5,0,1,0,0,0,6,0,1
"69",1972,"Belgium",4,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,3,0,0
"70",1972,"Brazil",3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,2,0,1
"71",1972,"Brunei",5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0
"72",1972,"Cambodia",2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
"73",1972,"Canada",4,0,3,0,1,0,0,7,0,0,2,0,1,3,0,0,0,0,0,4,0,0
"74",1972,"Colombia",2,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"75",1972,"Congo (Democratic Republic of the)",3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
"76",1972,"Congo (Republic of the)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"77",1972,"Czechoslovakia",1,0,1,0,26,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"78",1972,"Egypt",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"79",1972,"El Salvador",2,0,2,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0
"80",1972,"France",11,1,7,0,1,0,0,0,0,0,5,1,0,5,0,3,0,2,0,9,0,0
"81",1972,"Germany",24,0,20,0,23,3,6,45,0,0,21,0,2,3,0,1,6,5,1,17,0,3
"82",1972,"Greece",2,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0
"83",1972,"India",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"84",1972,"Iran",15,0,12,0,1,0,0,3,0,0,13,0,2,5,0,0,2,2,2,14,0,0
"85",1972,"Ireland",5,0,5,0,6,0,0,0,0,0,4,0,1,2,0,0,1,0,1,3,0,1
"86",1972,"Israel",15,0,1,0,26,0,0,72,0,0,1,0,7,0,0,1,0,0,3,14,0,1
"87",1972,"Italy",4,0,4,0,1,0,1,4,0,0,4,0,0,0,0,1,0,0,0,4,0,0
"88",1972,"Jordan",7,0,1,0,2,0,2,0,0,0,2,0,4,2,0,0,0,0,1,7,0,0
"89",1972,"Kuwait",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"90",1972,"Lebanon",3,0,3,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0
"91",1972,"Mexico",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"92",1972,"Netherlands",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"93",1972,"Panama",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"94",1972,"Philippines",7,0,6,0,2,1,0,1,1,0,5,0,0,0,0,1,4,1,0,2,0,5
"95",1972,"Portugal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"96",1972,"Spain",19,1,19,0,2,0,0,3,0,0,17,1,1,1,0,0,2,9,2,11,0,5
"97",1972,"Sweden",3,0,3,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,2,0,1
"98",1972,"Switzerland",3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
"99",1972,"Thailand",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"100",1972,"Turkey",9,2,7,0,3,0,0,5,0,0,4,1,2,0,0,2,2,1,2,5,0,1
"101",1972,"United Kingdom",292,0,276,0,368,0,9,224,0,0,71,0,4,8,0,0,120,10,119,74,0,209
"102",1972,"United States",68,0,48,0,10,5,0,35,22,2,44,3,2,4,0,2,3,34,11,41,0,10
"103",1972,"Uruguay",7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0
"104",1972,"Venezuela",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"105",1972,"Vietnam",1,0,1,0,81,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"106",1972,"West Bank and Gaza Strip",1,0,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"107",1973,"Afghanistan",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"108",1973,"Argentina",60,12,56,0,16,1,0,4,0,0,24,10,3,3,0,2,12,24,6,13,0,19
"109",1973,"Austria",2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"110",1973,"Belgium",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"111",1973,"Brazil",2,0,2,0,0,0,0,15,0,0,2,0,0,1,0,1,0,0,0,1,0,0
"112",1973,"Chile",7,0,6,0,0,0,0,0,0,0,6,0,1,4,0,0,1,0,1,5,0,0
"113",1973,"Colombia",6,3,6,0,0,0,0,0,0,0,0,5,0,0,0,1,0,5,0,1,0,0
"114",1973,"Congo (Democratic Republic of the)",1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"115",1973,"Cyprus",3,0,2,0,1,0,1,1,0,0,2,0,0,2,0,1,0,0,0,0,0,3
"116",1973,"Dominican Republic",3,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1
"117",1973,"Ecuador",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"118",1973,"El Salvador",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"119",1973,"Ethiopia",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"120",1973,"France",14,1,12,0,5,0,0,20,0,0,8,0,1,6,0,1,0,3,0,10,0,1
"121",1973,"Germany",27,0,25,0,1,0,0,1,0,0,25,0,2,4,0,0,5,12,2,9,0,4
"122",1973,"Greece",11,0,10,0,5,2,0,55,0,0,11,0,2,0,0,1,3,3,2,6,0,1
"123",1973,"Haiti",1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"124",1973,"Honduras",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"125",1973,"Iran",4,0,4,0,1,1,0,0,0,0,3,0,0,0,0,1,1,2,0,3,0,1
"126",1973,"Ireland",3,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,2
"127",1973,"Israel",1,0,1,0,2,0,0,18,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"128",1973,"Italy",15,1,14,0,62,30,0,51,51,0,12,0,0,3,0,4,4,3,1,7,0,2
"129",1973,"Japan",2,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0
"130",1973,"Jordan",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"131",1973,"Lebanon",11,2,10,0,4,0,2,0,0,0,8,0,0,3,0,1,0,2,0,9,0,1
"132",1973,"Malaysia",1,0,1,0,0,0,0,8,8,0,1,0,0,1,0,0,0,0,0,1,0,0
"133",1973,"Mexico",6,2,6,0,1,0,0,0,0,0,3,1,0,3,0,0,0,2,1,3,0,0
"134",1973,"Morocco",2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0
"135",1973,"Myanmar (Burma)",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"136",1973,"Netherlands",1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"137",1973,"New Zealand",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"138",1973,"Peru",3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0
"139",1973,"Portugal",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"140",1973,"Spain",21,1,21,0,6,0,0,2,0,0,17,1,3,1,0,3,1,10,2,9,0,8
"141",1973,"Sudan",1,1,1,0,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"142",1973,"Switzerland",2,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0
"143",1973,"United Kingdom",189,0,178,0,210,0,14,275,0,0,56,0,6,1,0,0,61,5,85,51,0,125
"144",1973,"United States",58,1,50,0,45,37,3,33,28,1,24,0,1,8,2,1,0,9,21,17,0,33
"145",1973,"Venezuela",4,2,4,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,2,0,0
"146",1973,"Yugoslavia",1,0,1,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"147",1973,"Zambia",1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"148",1974,"Andorra",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"149",1974,"Argentina",71,5,69,0,21,0,1,12,0,2,43,5,4,6,1,0,3,44,8,39,0,12
"150",1974,"Australia",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"151",1974,"Austria",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"152",1974,"Belgium",5,0,3,0,0,0,0,1,0,0,5,0,0,0,0,3,0,2,0,2,0,0
"153",1974,"Bolivia",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"154",1974,"Botswana",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"155",1974,"Canada",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"156",1974,"Chad",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"157",1974,"Dominican Republic",2,2,2,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,1
"158",1974,"Ecuador",3,0,2,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,3,0,0
"159",1974,"El Salvador",3,0,3,0,0,0,0,3,0,0,3,0,1,1,0,0,0,0,0,2,0,1
"160",1974,"Ethiopia",4,1,4,0,3,0,0,0,0,0,2,0,1,0,0,0,0,3,0,1,0,1
"161",1974,"France",29,1,27,0,3,0,0,41,0,0,25,1,0,5,0,3,0,12,5,20,0,4
"162",1974,"Germany",29,0,27,0,2,0,0,10,0,0,25,0,10,2,1,1,0,8,0,12,0,2
"163",1974,"Greece",6,0,3,0,92,2,2,0,0,0,4,0,1,1,0,1,2,1,0,6,0,0
"164",1974,"Guatemala",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"165",1974,"Haiti",2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0
"166",1974,"Iran",11,0,11,0,1,0,0,0,0,0,10,0,0,1,0,0,2,7,1,9,0,1
"167",1974,"Ireland",3,0,3,0,34,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,1
"168",1974,"Israel",12,0,12,0,78,0,13,145,0,0,12,0,0,0,2,0,0,3,6,5,0,6
"169",1974,"Italy",22,1,22,0,23,0,0,150,0,0,17,1,2,5,0,1,0,10,0,11,0,1
"170",1974,"Jamaica",2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0
"171",1974,"Japan",3,0,3,0,0,0,0,7,0,0,2,0,0,2,0,1,0,0,0,0,0,0
"172",1974,"Korea",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"173",1974,"Kuwait",1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"174",1974,"Lebanon",11,1,9,0,0,0,0,10,0,0,8,1,0,4,0,2,0,3,0,8,0,1
"175",1974,"Mexico",16,1,16,0,2,0,0,0,0,0,12,2,2,2,0,0,0,11,0,12,0,1
"176",1974,"Netherlands",2,1,2,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2
"177",1974,"Nicaragua",1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"178",1974,"Pakistan",2,1,2,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,1,0,1
"179",1974,"Peru",3,0,3,0,0,0,0,15,11,0,3,0,0,1,0,0,0,2,0,2,0,1
"180",1974,"Philippines",1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"181",1974,"Singapore",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"182",1974,"South Africa",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"183",1974,"Spain",14,0,14,0,19,0,0,70,0,0,8,0,0,2,0,1,0,5,0,4,0,10
"184",1974,"Switzerland",3,0,3,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,3,0,0
"185",1974,"Syria",4,0,4,0,1,1,0,9,3,0,4,0,0,2,0,0,0,2,0,4,0,0
"186",1974,"Thailand",1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"187",1974,"Turkey",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"188",1974,"United Arab Emirates",1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"189",1974,"United Kingdom",203,0,193,0,235,0,6,329,0,0,78,0,5,1,1,1,47,22,93,77,0,123
"190",1974,"United States",94,0,85,0,16,11,0,54,47,5,64,0,7,8,1,2,3,39,10,63,0,16
"191",1974,"Venezuela",3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0
"192",1974,"Yemen",1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"193",1974,"Yugoslavia",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"194",1975,"Argentina",38,3,36,0,123,12,100,16,0,0,31,1,1,8,0,0,6,17,2,22,0,12
"195",1975,"Austria",2,1,2,0,4,0,0,11,0,0,1,0,0,2,0,0,0,0,0,0,0,2
"196",1975,"Colombia",10,1,10,0,7,0,0,0,0,0,7,0,0,0,0,0,2,1,4,1,0,8
"197",1975,"Cyprus",2,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,2,0,0
